CALENDAR_CD,OFF_DATE
5AAAA,2016-01-01
5AAAA,2016-01-02
5AAAA,2016-01-03
5AAAA,2016-01-04
5AAAA,2016-01-10
5AAAA,2016-01-17
5AAAA,2016-01-24
5AAAA,2016-01-31
5AAAA,2016-02-07
5AAAA,2016-02-14
5AAAA,2016-02-21
5AAAA,2016-02-28
5AAAA,2016-03-06
5AAAA,2016-03-13
5AAAA,2016-03-20
5AAAA,2016-03-27
5AAAA,2016-04-03
5AAAA,2016-04-10
5AAAA,2016-04-17
5AAAA,2016-04-24
5AAAA,2016-05-01
5AAAA,2016-05-08
5AAAA,2016-05-15
5AAAA,2016-05-22
5AAAA,2016-05-29
5AAAA,2016-06-05
5AAAA,2016-06-12
5AAAA,2016-06-19
5AAAA,2016-06-26
5AAAA,2016-07-03
5AAAA,2016-07-10
5AAAA,2016-07-17
5AAAA,2016-07-24
5AAAA,2016-07-31
5AAAA,2016-08-07
5AAAA,2016-08-14
5AAAA,2016-08-21
5AAAA,2016-08-28
5AAAA,2016-09-04
5AAAA,2016-09-11
5AAAA,2016-09-18
5AAAA,2016-09-25
5AAAA,2016-10-02
5AAAA,2016-10-09
5AAAA,2016-10-16
5AAAA,2016-10-23
5AAAA,2016-10-30
5AAAA,2016-11-06
5AAAA,2016-11-13
5AAAA,2016-11-20
5AAAA,2016-11-27
5AAAA,2016-12-04
5AAAA,2016-12-11
5AAAA,2016-12-18
5AAAA,2016-12-25
5AAAA,2016-12-29
5AAAA,2016-12-30
5AAAA,2016-12-31
5AAAA,2017-01-01
5AAAA,2017-01-02
5AAAA,2017-01-03
5AAAA,2017-01-04
5AAAA,2017-01-08
5AAAA,2017-01-15
5AAAA,2017-01-22
5AAAA,2017-01-29
5AAAA,2017-02-05
5AAAA,2017-02-12
5AAAA,2017-02-19
5AAAA,2017-02-26
5AAAA,2017-03-05
5AAAA,2017-03-12
5AAAA,2017-03-19
5AAAA,2017-03-26
5AAAA,2017-04-02
5AAAA,2017-04-09
5AAAA,2017-04-16
5AAAA,2017-04-23
5AAAA,2017-04-30
5AAAA,2017-05-07
5AAAA,2017-05-14
5AAAA,2017-05-21
5AAAA,2017-05-28
5AAAA,2017-06-04
5AAAA,2017-06-11
5AAAA,2017-06-18
5AAAA,2017-06-25
5AAAA,2017-07-02
5AAAA,2017-07-09
5AAAA,2017-07-16
5AAAA,2017-07-23
5AAAA,2017-07-30
5AAAA,2017-08-06
5AAAA,2017-08-13
5AAAA,2017-08-20
5AAAA,2017-08-27
5AAAA,2017-09-03
5AAAA,2017-09-10
5AAAA,2017-09-17
5AAAA,2017-09-24
5AAAA,2017-10-01
5AAAA,2017-10-08
5AAAA,2017-10-15
5AAAA,2017-10-22
5AAAA,2017-10-29
5AAAA,2017-11-05
5AAAA,2017-11-12
5AAAA,2017-11-19
5AAAA,2017-11-26
5AAAA,2017-12-03
5AAAA,2017-12-10
5AAAA,2017-12-17
5AAAA,2017-12-24
5AAAA,2017-12-29
5AAAA,2017-12-30
5AAAA,2017-12-31
5AAAA,2018-01-01
5AAAA,2018-01-02
5AAAA,2018-01-03
5AAAA,2018-01-04
5AAAA,2018-01-07
5AAAA,2018-01-14
5AAAA,2018-01-21
5AAAA,2018-01-28
5AAAA,2018-02-04
5AAAA,2018-02-11
5AAAA,2018-02-18
5AAAA,2018-02-25
5AAAA,2018-03-04
5AAAA,2018-03-11
5AAAA,2018-03-18
5AAAA,2018-03-25
5AAAA,2018-04-01
5AAAA,2018-04-08
5AAAA,2018-04-15
5AAAA,2018-04-22
5AAAA,2018-04-29
5AAAA,2018-05-06
5AAAA,2018-05-13
5AAAA,2018-05-20
5AAAA,2018-05-27
5AAAA,2018-06-03
5AAAA,2018-06-10
5AAAA,2018-06-17
5AAAA,2018-06-24
5AAAA,2018-07-01
5AAAA,2018-07-08
5AAAA,2018-07-15
5AAAA,2018-07-22
5AAAA,2018-07-29
5AAAA,2018-08-05
5AAAA,2018-08-12
5AAAA,2018-08-19
5AAAA,2018-08-26
5AAAA,2018-09-02
5AAAA,2018-09-09
5AAAA,2018-09-16
5AAAA,2018-09-23
5AAAA,2018-09-30
5AAAA,2018-10-07
5AAAA,2018-10-14
5AAAA,2018-10-21
5AAAA,2018-10-28
5AAAA,2018-11-04
5AAAA,2018-11-11
5AAAA,2018-11-18
5AAAA,2018-11-25
5AAAA,2018-12-02
5AAAA,2018-12-09
5AAAA,2018-12-16
5AAAA,2018-12-23
5AAAA,2018-12-29
5AAAA,2018-12-30
5AAAA,2018-12-31
5AAAA,2019-01-01
5AAAA,2019-01-02
5AAAA,2019-01-03
5AAAA,2019-01-04
5AAAA,2019-01-06
5AAAA,2019-01-13
5AAAA,2019-01-20
5AAAA,2019-01-27
5AAAA,2019-02-03
5AAAA,2019-02-10
5AAAA,2019-02-17
5AAAA,2019-02-24
5AAAA,2019-03-03
5AAAA,2019-03-10
5AAAA,2019-03-17
5AAAA,2019-03-24
5AAAA,2019-03-31
5AAAA,2019-04-07
5AAAA,2019-04-14
5AAAA,2019-04-21
5AAAA,2019-04-28
5AAAA,2019-05-05
5AAAA,2019-05-12
5AAAA,2019-05-19
5AAAA,2019-05-26
5AAAA,2019-06-02
5AAAA,2019-06-09
5AAAA,2019-06-16
5AAAA,2019-06-23
5AAAA,2019-06-30
5AAAA,2019-07-07
5AAAA,2019-07-14
5AAAA,2019-07-21
5AAAA,2019-07-28
5AAAA,2019-08-04
5AAAA,2019-08-11
5AAAA,2019-08-18
5AAAA,2019-08-25
5AAAA,2019-09-01
5AAAA,2019-09-08
5AAAA,2019-09-15
5AAAA,2019-09-22
5AAAA,2019-09-29
5AAAA,2019-10-06
5AAAA,2019-10-13
5AAAA,2019-10-20
5AAAA,2019-10-27
5AAAA,2019-11-03
5AAAA,2019-11-10
5AAAA,2019-11-17
5AAAA,2019-11-24
5AAAA,2019-12-01
5AAAA,2019-12-08
5AAAA,2019-12-15
5AAAA,2019-12-22
5AAAA,2019-12-29
5AAAA,2019-12-30
5AAAA,2019-12-31
5AAAA,2020-01-01
5AAAA,2020-01-02
5AAAA,2020-01-03
5AAAA,2020-01-04
5AAAA,2020-01-05
5AAAA,2020-01-12
5AAAA,2020-01-19
5AAAA,2020-01-26
5AAAA,2020-02-02
5AAAA,2020-02-09
5AAAA,2020-02-16
5AAAA,2020-02-23
5AAAA,2020-03-01
5AAAA,2020-03-08
5AAAA,2020-03-15
5AAAA,2020-03-22
5AAAA,2020-03-29
5AAAA,2020-04-05
5AAAA,2020-04-12
5AAAA,2020-04-19
5AAAA,2020-04-26
5AAAA,2020-05-03
5AAAA,2020-05-10
5AAAA,2020-05-17
5AAAA,2020-05-24
5AAAA,2020-05-31
5AAAA,2020-06-07
5AAAA,2020-06-14
5AAAA,2020-06-21
5AAAA,2020-06-28
5AAAA,2020-07-05
5AAAA,2020-07-12
5AAAA,2020-07-19
5AAAA,2020-07-26
5AAAA,2020-08-02
5AAAA,2020-08-09
5AAAA,2020-08-16
5AAAA,2020-08-23
5AAAA,2020-08-30
5AAAA,2020-09-06
5AAAA,2020-09-13
5AAAA,2020-09-20
5AAAA,2020-09-27
5AAAA,2020-10-04
5AAAA,2020-10-11
5AAAA,2020-10-18
5AAAA,2020-10-25
5AAAA,2020-11-01
5AAAA,2020-11-08
5AAAA,2020-11-15
5AAAA,2020-11-22
5AAAA,2020-11-29
5AAAA,2020-12-06
5AAAA,2020-12-13
5AAAA,2020-12-20
5AAAA,2020-12-27
5AAAA,2020-12-29
5AAAA,2020-12-30
5AAAA,2020-12-31
C8677,2014-11-02
C8677,2014-11-09
C8677,2014-11-16
C8677,2014-11-23
C8677,2014-11-30
C8677,2014-12-07
C8677,2014-12-14
C8677,2014-12-21
C8677,2014-12-28
C8677,2015-01-01
C8677,2015-01-02
C8677,2015-01-03
C8677,2015-01-11
C8677,2015-01-18
C8677,2015-01-25
C8677,2015-02-01
C8677,2015-02-08
C8677,2015-02-18
C8677,2015-02-19
C8677,2015-02-20
C8677,2015-02-21
C8677,2015-02-22
C8677,2015-02-23
C8677,2015-02-24
C8677,2015-03-01
C8677,2015-03-08
C8677,2015-03-15
C8677,2015-03-22
C8677,2015-03-29
C8677,2015-04-04
C8677,2015-04-05
C8677,2015-04-06
C8677,2015-04-12
C8677,2015-04-19
C8677,2015-04-26
C8677,2015-05-01
C8677,2015-05-02
C8677,2015-05-03
C8677,2015-05-10
C8677,2015-05-17
C8677,2015-05-24
C8677,2015-05-31
C8677,2015-06-07
C8677,2015-06-14
C8677,2015-06-20
C8677,2015-06-21
C8677,2015-06-22
C8677,2015-06-28
